"date","company","position","location","description"
"2025-11-07T00:02:46+00:00","Linda Werner & Associates","UX Researcher Mixed Methods","Menlo Park","<strong>Position Overview</strong><p>We are seeking a highly skilled and mission-driven Senior UX Researcher to join our team on a temporary basis. This role offers a unique opportunity to lead strategic research initiatives focused on helping people find and build community online. As a key contributor to our product and design teams, you will conduct hands-on, primary research to inform product development and drive impactful user experiences.</p><p><strong>Key Responsibilities</strong></p><ul><li>Design and execute qualitative and quantitative research studies, including in-depth interviews, focus groups, concept testing, usability testing, surveys, and diary studies</li><li>Manage end-to-end research projectsâfrom scoping and planning to synthesis and presentation of actionable insights</li><li>Translate complex research findings into strategic narratives that influence product direction and design decisions</li><li>Collaborate closely with product managers, designers, engineers, and other researchers to align research outcomes with business goals</li><li>Uphold high standards of research ethics, data integrity, and inclusive design practices</li><li>Lead research efforts for SEO and discovery experiences within community-focused products</li></ul><p><strong>Minimum Qualifications</strong></p><ul><li>5â7 years of experience in UX research, applied research, or product R&amp;D, with at least 2 years in a senior or lead capacity</li><li>Proven expertise in advanced qualitative and quantitative research methods</li><li>Demonstrated ability to manage and deliver end-to-end research projects independently</li><li>Strong communication skills with a track record of influencing cross-functional teams</li><li>Experience translating research into product recommendations and strategic insights</li><li>Authorized to work in the United States</li></ul><p><strong>Preferred Qualifications</strong></p><ul><li>Experience with mixed-methods research approaches</li><li>Familiarity with product design and prototyping tools (e.g., Figma, Sketch)</li><li>Understanding of A/B testing and experimentation frameworks</li><li>Background in tech environments or fast-paced product teams</li><li>Domain expertise in community, social platforms, or group-based user experiences</li></ul><p><strong>What Youâll Gain</strong></p><ul><li>Opportunity to work on community-centered product<br/><br/>Please mention the word **GAINS** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:02:24+00:00","Filevine","Quality Assurance Analyst II","United States","<p>Filevine is forging the future of legal work with cloud-based workflow tools. We have a reputation for intuitive, streamlined technology that helps professionals manage their organization and serve their clients better. Weâre also known for our team of extraordinary and passionate professionals who love working together to help organizations thrive. Our success has catapulted Filevine to the forefront of our fieldâwe are ranked as one of the most innovative and fastest-growing technology companies in the country by both Deloitte and Inc.</p><p><br></p><p><b>Our Mission</b></p><p>Filevine is building the seamless intersection between legal and business by creating a world- class platform to help professionals scale.</p><p><br></p><p><b>Role Summary:</b></p><p>Experienced QA professional responsible for leading test initiatives, improving test coverage, and contributing to automation strategies within the software development lifecycle.</p>\n<p></p><p><br></p><b>Responsibilities</b><ul><li>Design and execute advanced test strategies for complex projects</li><li>Analyze test results to identify trends and areas of improvement</li><li>Collaborate with developers to enhance testability and ensure high-quality releases</li><li>Lead defect triage meetings and assist in root cause analysis</li><li>Expand test coverage and optimize regression testing processes</li><li>Guide junior QA team members in best testing practices</li></ul><p><br></p><b>Qualifications</b><ul><li>Strong understanding of test automation frameworks and scripting languages</li><li>Proficiency in API testing tools (e.g., Postman, SOAP UI) and SQL</li><li>In-depth knowledge of software development and testing methodologies</li><li>Experience working in Agile environments</li><li>Some leadership and mentoring abilities</li><li>Basic programming knowledge preferred</li><li>Bachelorâs degree in Computer Science or a related field</li><li>5+ years of experience in software quality assurance</li></ul><p><br></p><p></p>\n<p><i style=""font-size: 15px;"">Compensation Information:&nbsp;$140,000 - $160,000</i></p><p><br></p><p><i style=""font-size: 15px;"">The base salary range represents the low and high end of the salary range for this position. The total compensation package for this position will be determined by each individualâs location, qualifications, education, work experience, skills and performance. We believe in the importance of pay equity - the range listed is just one component of Filevineâs total compensation package for employees. This position is also eligible for a paid time off policy, as well as a comprehensive benefits package.</i></p><p><br></p><p><b>Cool Company Benefits:</b></p><p>- A dynamic, rapidly growing company, focused on helping organizations thrive&nbsp;</p><p>- Medical, Dental, &amp; Vision Insurance (for full-time employees)</p><p>- Competitive &amp; Fair Pay</p><p>- Maternity &amp; paternity leave (for full-time employees)</p><p>- Short &amp; long-term disability</p><p>- Opportunity to learn from a dedicated leadership team</p><p>- Centrally located open office building in Sugar House (onsite employees)</p><p>- Top-of-the-line company swag</p><p><br></p><p><b>Privacy Policy Notice</b></p><p>Filevine will handle your personal information according to whatâs outlined in our&nbsp;<a href=""https://www.filevine.com/privacy-policy/"">Privacy Policy</a>.</p><br/><br/>Please mention the word **SUPER** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:02:17+00:00","Sage","Brand Designer","New York","<p><strong>Brand Designer</strong></p>
<p>Sage is on a mission to improve care and quality of life for older adults, starting with those residing in senior living facilities. Falls are the leading cause of injury-related death among adults over 65. And yet, fall prevention and emergency response systems for older adults are archaic and ineffective. At Sage we've built a more modern way of understanding when older adults need help, including methods for residents to alert caregivers when in need of help, and corresponding software for caregivers to triage response. Our company mission is to create a product that our client counterparts love, and this role is a key part of that objective.</p>
<p>Sage is a small, tight team of ambitious, multi-disciplinary entrepreneurs. We are a software-enabled, mission-driven company, and are focused only on the problems that are central to achieving that mission. At Sage, we work hard and fast but also know that to build a truly important company, we need to treat our work as a marathon, and not a sprint. The journey matters.</p>
<p><strong>About this Role</strong></p>
<p>As Sageâs Brand Designer, youâll design the creative that defines how our brand is experienced externally and internally. Youâll partner closely with marketing, content, and product teams to create materials that tell a clear and compelling storyâthrough visuals that are strategic, consistent, and distinctly Sage.</p>
<p>Youâll own design execution across a wide range of formatsâfrom campaigns and presentations to environmental and event collateralâhelping ensure every expression of Sage feels intentional and aligned.</p>
<p><strong>Responsibilities</strong></p>
<ul>
<li>Translate Sageâs visual identity across marketing, sales, and company communications.</li>
<li>Create high-quality design for campaigns, social, email, video, events, and presentations.</li>
<li>Maintain and evolve the brand system to ensure visual consistency and scalability.</li>
<li>Collaborate with marketing, content, and product partners on concept development and creative execution.</li>
<li>Design assets for both digital and physical touchpoints, from web and print to packaging and merchandise.</li>
</ul><br/><br/>Please mention the word **FANS** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:01:58+00:00","Filevine","Senior Javascript Fullstack Engineer","United States","<p>Filevine is forging the future of legal work with cloud-based workflow tools. We have a reputation for intuitive, streamlined technology that helps professionals manage their organization and serve their clients better. Weâre also known for our team of extraordinary and passionate professionals who love working together to help organizations thrive. Our success has catapulted Filevine to the forefront of our fieldâwe are ranked as one of the most innovative and fastest-growing technology companies in the country by both Deloitte and Inc.</p><p><br></p><p><b>Our Mission</b></p><p>Filevine is building the seamless intersection between legal and business by creating a world- class platform to help professionals scale.</p><p><br></p><p><b>Role Summary:</b></p><p><span style=""font-size: 11pt;"">We are seeking a talented and experienced Senior Javascript Full Stack Engineer to join our dynamic team. The ideal candidate will have a passion for creating high-quality, user-friendly web applications, and a deep understanding of the latest web technologies.</span></p>\n<p></p><p><br></p><b>Responsibilities</b><ul><li>Design, develop, and maintain high-quality web applications using JavaScript, Node.js, and React.</li><li>Collaborate with cross-functional teams to define, design, and ship new features.</li><li>Analyze and resolve technical and application problems.</li><li>Adhere to high-quality development principles while delivering solutions on-time and on-budget.</li><li>Debug production issues across services and multiple levels of the stack with an eye towards improving maintainability over the long term.</li><li>Improve engineering standards, tooling, and processes.</li></ul><p><br></p><b>Qualifications</b><ul><li>Proficient in JavaScript, Node.js, React, and other relevant web design coding languages.</li><li>Experience with API design and development.</li><li>Strong knowledge of data structures, system design, and algorithms.</li><li>Excellent problem-solving skills.</li><li>Strong understanding of the web development cycle and programming techniques and tools.</li><li>Strong communication skills and ability to work collaboratively within a team.</li></ul><p><br></p><b>Education</b><ul><li>B.S. in computer science, information systems, a related field; comparable certifications; or equivalent direct work experience</li></ul><p><br></p><p></p>\n<p><i style=""font-size: 15px;"">Compensation Information:&nbsp;$140,000 - 180,000</i></p><p><br></p><p><i style=""font-size: 15px;"">The base salary range represents the low and high end of the salary range for this position. The total compensation package for this position will be determined by each individualâs location, qualifications, education, work experience, skills and performance. We believe in the importance of pay equity - the range listed is just one component of Filevineâs total compensation package for employees. This position is also eligible for a paid time off policy, as well as a comprehensive benefits package.</i></p><p><br></p><p><b>Cool Company Benefits:</b></p><p>- A dynamic, rapidly growing company, focused on helping organizations thrive&nbsp;</p><p>- Medical, Dental, &amp; Vision Insurance (for full-time employees)</p><p>- Competitive &amp; Fair Pay</p><p>- Maternity &amp; paternity leave (for full-time employees)</p><p>- Short &amp; long-term disability</p><p>- Opportunity to learn from a dedicated leadership team</p><p>- Centrally located open office building in Sugar House (onsite employees)</p><p>- Top-of-the-line company swag</p><p><br></p><p><b>Privacy Policy Notice</b></p><p>Filevine will handle your personal information according to whatâs outlined in our&nbsp;<a href=""https://www.filevine.com/privacy-policy/"">Privacy Policy</a>.</p><br/><br/>Please mention the word **LIKES** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:01:51+00:00","Galaxy Digital Services","Assoc Protocol Engineer","US","<strong>Who We Are:<br></strong>Galaxy is a global leader in digital assets and data center infrastructure, delivering solutions that accelerate progress in finance and artificial intelligence. We believe that blockchain and digital asset innovation will transform how value moves through the world â and weâre building the products and services to make that future a reality.<br>&nbsp;<br>Our institutional digital assets platform spans trading, investment banking, asset management, staking, self-custody, and tokenization technology. We also invest in and operate cutting-edge data center infrastructure to power AI and high-performance computing, addressing the growing demand for scalable energy and compute in the U.S.<br>&nbsp;<br>We work at the intersection of finance and technology, helping institutions, startups, and developers navigate a digitally native economy. Led by CEO and Founder Michael Novogratz, our team blends deep crypto expertise with institutional experience and a shared commitment to shaping the future of Web3 and AI.<br>&nbsp;<br>Galaxy is headquartered in New York City, with offices across North America, Europe, the Middle East, and Asia.<br>&nbsp;<br>To learn more about our businesses and products, visit www.galaxy.com.<br><strong>What We Value:</strong><br>We are a diverse team of free thinkers, and fast movers united to help investors and creators energize the global economy. We are looking for individuals who thrive in a culture of builders and overachievers and embrace high performance, transparent feedback, and a mission-first approach. Our culture shapes our way of working and gets us where we want to be.<ul><li><em>Seek Excellence.</em></li><li><em>Be Selective To Be Effective.</em></li><li><em>Be Highly Aligned, Loosely Coupled.</em></li><li><em>Disagree Transparently.</em></li><li><em>Encourage Independent Decision-Making.</em></li><li><em>Build Dream Teams.</em></li></ul><strong>Who You Are:</strong><br>You are an experienced Protocol, DevOps or SRE Engineer with;<ul><li>Prior software engineering or application development experience in modern programming language (.Net, Go, Rust, C/C++, Java, etc.)</li><li>Experience or awareness in working with Chainlink systems, services or ecosystem.</li><li>Ability to script in a high-level scripting language like Python, Perl or bash coupled with an ability to identify human processes and automate them.</li></ul><br/><br/>Please mention the word **PROSPEROUS** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:01:26+00:00","Corcept Therapeutics","Senior Manager Field Operations","Remote","Corcept is leading the way in the research and development of cortisol modulators, molecules that regulate cortisol activity at the glucocorticoid receptor (GR). To date, we have discovered more than 1,000 selective proprietary cortisol modulators.

In 2012, we received FDA approval of KorlymÂ® (mifepristone), the first approved treatment for hypercortisolism (Cushingâs syndrome).

Today, our team and collaborators continue to unlock the possibilities of cortisol modulation as a way to treat serious diseases. With more than 30 ongoing studies across a wide range of disease areas, including endocrinology, oncology, metabolism, and neurology, we remain dedicated to advancing the possibilities of cortisol modulation.

What began as a ripple of scientific truth is now poised to unleash a sea change of discovery representing a fundamental shift in the way we understand and treat disease.

The Senior Manager, Field Operations serves as a strategic and operational leader supporting the Oncology commercial organization. This individual will drive excellence in field operations, process design, compliance, and execution while fostering engagement, collaboration, and accountability across the commercial ecosystem. The role requires strong executive presence, strategic thinking, and the ability to translate complex operational needs into actionable solutions that enable high performance and organizational readiness for launch and beyond.

Responsibilities:
- Lead the development and delivery of internal communications, including team updates, leadership messaging, and structured meeting cadences, to ensure alignment, engagement, and transparency across the Oncology Field Sales Function
- Drive process optimization by identifying inefficiencies, proposing strategic solutions, and leading implementation to enhance operational excellence and scalability.<br/><br/>Please mention the word **SMILE** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:01:07+00:00","Spreetail","Senior Data Analyst Supply Chain","Remote","Spreetail propels brands to increase their ecommerce market share across the globe while improving their operational costs. Learn how we are building one of the fastest-growing ecommerce companies in history: www.spreetail.com. As a Senior Transportation Analyst, you will conduct an in-depth analysis of transportation data to identify trends, patterns, and opportunities for improvement. You will collaborate with team members to understand their analytics needs and the best possible solutions. responsibilities will include developing, refining, and maintaining key performance indicators (KPIs) to measure the effectiveness and efficiency of transportation operations.<br/><br/>Please mention the word **CHERUB** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:00:44+00:00","Crux","Product Manager","","<p style=""min-height:1.5em""><strong>Weâre supercharging the clean economy</strong></p><p style=""min-height:1.5em"">Crux is the capital markets platform changing the way clean energy and manufacturing projects are financed in the US. Our platform, market intelligence, and expert team help developers and manufacturers unlock financing through all stages of project development and operation.</p><p style=""min-height:1.5em"">Our team of 70+ is composed of experts in energy, tax, finance, government, and technology. We have raised $77 million in capital from some of the best investors, including Andreessen Horowitz, Lowercarbon Capital, New System Ventures, Overture, Ardent Venture Partners, QED, Canapi, and others. These funds are joined by strategic investors including Pattern Energy, Clearway Energy, EDF Renewables, Intersect Power, LS Power, Orsted, Hartree Partners, Liberty Mutual Strategic Ventures, MassMutual Ventures, and OMERS Ventures.</p><p style=""min-height:1.5em""><strong>An inflection point in American energy and manufacturing</strong></p><p style=""min-height:1.5em"">Energy demand is growing for the first time in 20 years, driven by manufacturing, transportation, electrification, and data centers. Simultaneously, hundreds of billions of dollars are being invested in domestic supply chains for critical minerals and components. Developers and manufacturers will require trillions of dollars in capital to meet this growing demand.</p><p style=""min-height:1.5em"">Prior to Crux, the capital markets supporting this transformation were opaque, fragmented, and complex. At Crux, we recognized the missing infrastructure: a bespoke capital markets platform for the next century of American energy and industry. By connecting counterparties, providing market intelligence, and streamlining transactions, we unlock faster decision-making, lower cost of capital, and accelerated deployment.</p><p style=""min-height:1.5em""><strong>The role</strong></p><p style=""min-height:1.5em"">We are looking for our second product manager, to make the experience of negotiating, underwriting, and closing transactions on Crux efficient, intelligent, and seamless.</p><p style=""min-height:1.5em"">That will require a combination of collaboration and workflow software, delivered alongside LLM-driven automation and first and third-party data. All of that will have to be packaged and served to those doing this work, whether they are lawyers, investors, lenders, tax credit buyers, or Crux employees.</p><p style=""min-height:1.5em"">This product manager will work in close collaboration with our experienced engineering, product, design, and customer-facing teams to develop that vision, and bring it to life.</p><p style=""min-height:1.5em""></p><p style=""min-height:1.5em""><strong>What youâll do</strong></p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Own the roadmap for either underwriting tax credit transactions on the Crux platform</p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em"">Work directly with customers, partners, and customer-facing teams to develop a vision and strategy for that problem space, which spans both workflow and automation features</p></li><li><p style=""min-height:1.5em"">Iterate quickly with those same stakeholders to quickly improve the features in market</p></li><li><p style=""min-height:1.5em"">Partner with engineering &amp; design to drive implementation of those features</p></li></ul></li><li><p style=""min-height:1.5em"">Deeply understand our customers and market: the individual projects, surrounding market environment, and workflows to be able to build features purpose-built for their needs</p></li><li><p style=""min-height:1.5em"">Define &amp; implement metrics to help us understand whatâs working and whatâs not</p></li><li><p style=""min-height:1.5em"">Actively participate in company-building: help us improve Crux for our customers &amp; as a team</p></li></ul><p style=""min-height:1.5em""><strong>Who you are</strong></p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em""><strong>Executional Excellence</strong>: you are high ownership, and are known to solve customer problems by those who have worked with you. You likely have 5-8 years of experience in product management. You may have worked in the following similar domains: B2B software, complex industries that interact with the built world or operationally-intensive businesses</p></li><li><p style=""min-height:1.5em""><strong>LLM-native</strong>: you have built features that leverage LLMs, and have a mature product sense for where and how to deploy them, are fluent in developing evaluations, and are excited about applications in industries like ours</p></li><li><p style=""min-height:1.5em""><strong>Strategic Rigor</strong>: you are thoughtful in your strategic thinking. We find that usually means strengths in modulating communication altitude, understanding &amp; articulating first &amp; second-order effects of things, identifying novel &amp; elegant solutions to problems and a crisp ability to disentangle problems</p></li><li><p style=""min-height:1.5em""><strong>Startup Minded</strong>: you are excited about working at an early-stage startup, which involves wearing multiple different hats, iterating a lot, and owning a significant product surface area</p></li><li><p style=""min-height:1.5em""><strong>Mission Oriented</strong>: you want to use your skills to improve sustainable finance, in a collaborative team environment</p></li></ul><p style=""min-height:1.5em""><strong>What we offer</strong></p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em""><strong>Compensation</strong>: $175,000- $225,000, company wide bonus between $15,000-$30,000 tied to revenue goals. Equity in the form of stock options.</p></li><li><p style=""min-height:1.5em""><strong>Fully-paid Employee medical</strong>, dental and vision benefits, as well as 70% dependent coverage.</p></li><li><p style=""min-height:1.5em""><strong>Remote-first company</strong> with quarterly company wide onsite meetings and team meetings.</p></li><li><p style=""min-height:1.5em"">$400 WFH stipend</p></li><li><p style=""min-height:1.5em"">Mission-driven company with the best team around</p></li></ul><p style=""min-height:1.5em""><strong>Our values</strong></p><ul style=""min-height:1.5em""><li><p style=""min-height:1.5em""><em>Care for each other: We want to work on a team where people support each other - in their growth, in their work, and towards our shared mission. When we do that, we have fun.</em></p></li><li><p style=""min-height:1.5em""><em>Build and improve rapidly: We move quickly. To do that, we focus, consistently ask ourselves if we are prioritizing the right things, and execute them as best as possible.</em></p></li><li><p style=""min-height:1.5em""><em>Focus unremittingly on customers: Our first obligation is to our customers and partners, and we keep their needs front and center in everything we do.</em></p></li><li><p style=""min-height:1.5em""><em>Demonstrate ownership: We are all owners of Crux. This is our team, our company, our product and we show that to each other.</em></p></li><li><p style=""min-height:1.5em""><em>Convene a team that reflects the breadth of experiences in the country: Weâre building a team with a wide range of backgrounds and a culture where everyone can thrive.</em></p></li></ul><p style=""min-height:1.5em""><em>We provide equal employment opportunities to all applicants without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by law.</em></p><br/><br/>Please mention the word **SUPPLE** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:00:38+00:00","Raya","Backend Engineer","Los Angeles or Remote","<p>Raya is a private, membership-based community that connects people online to enrich their lives offline. Our mission is to help people discover and experience the world around them, using technology that prioritizes authenticity, curiosity, and quality real-world interactions.</p><p><br></p><p>Weâre looking for a new member of the Places Team â a small, fast-moving group that operates like a startup within Raya. The team is building the next generation of location-based and discovery experiences, shaping how our members explore, connect, and engage with the world around them. Youâll be working with cutting-edge technologies like Large Language Models (LLMs) â developing an AI chatbot, integrating LLMs into production workflows, and experimenting with AI-driven discovery and personalization.</p><p><br></p><p>At Raya, we value productivity, ownership, and execution. This is a role for someone who thrives in high-growth, startup-like environments, with a strong bias toward action and a proven ability to deliver without heavy management. You should be ready to contribute from day one, take initiative, and continuously push forward ambitious ideas that shape real-world experiences at scale.</p>\n<p></p><p><br></p><b>What You'll Do</b><ul><li><b>Own and Deliver:</b> Take full ownership of key features within Rayaâs Places Team, shaping how members discover and experience the world around them.</li><li><b>Build with AI:</b> Work hands-on with <b>LLMs</b> to develop intelligent systems â from chatbots to personalized discovery â and bring them into production at scale.</li><li><b>Drive from Start to Finish:</b> Architect, implement, launch, and iterate. Youâll be accountable for performance, reliability, continuous improvement, and overcoming every obstacle that gets between you and shipping</li><li><b>Collaborate Across Disciplines:</b> Work closely with design, product, and data to turn bold ideas into seamless, user-facing experiences.</li><li><b>Operate Like a Founder:</b> Youâll have autonomy, make quick decisions, and move fast to deliver measurable impact.</li></ul><p><br></p><b>What We're Looking For</b><ul><li>Weâre looking for someone whoâs driven by impact, thrives in ambiguity, and owns outcomes from day one. You work fast, think deeply, and care about delivering real results.</li><li><b>High Throughput:</b> Youâre efficient, focused, and consistently deliver high-quality work at startup speed.</li><li><b>Adaptive &amp; AI-Native:</b> You learn fast, embrace new technologies, and already use AI tools as a core part of how you think and build.</li><li><b>Startup Energy:</b> Youâre comfortable in unstructured, high-growth environments where priorities shift and decisions happen quickly.</li><li><b>Collaborative:</b> You value clear communication and teamwork, and you make everyone around you more effective.</li><li><b>Ownership Mentality:</b> You take initiative and hold yourself accountable for outcomes â not just tasks.</li></ul><div><br></div><p><br></p><b>Nice-to-Haves</b><ul><li>Experience building or scaling&nbsp;Node.js and&nbsp;TypeScript systems in production</li><li>Familiarity with&nbsp;LLMs,&nbsp;AI frameworks, or&nbsp;AI-driven personalization</li><li>Experience with OpenSearch or Elasticsearch in production environments or experience developing search engines</li><li>Exposure to&nbsp;location-based apps,&nbsp;maps, or&nbsp;discovery experiences</li><li>Prior experience at an&nbsp;early-stage startup&nbsp;or small, high-impact engineering team</li><li>Passion for&nbsp;AI, exploration, or social products&nbsp;that bring people closer to the world around them</li></ul><p><br></p><p></p>\n<br/><br/>Please mention the word **INNOCUOUS** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
"2025-11-07T00:00:30+00:00","Pearl","Executive Assistant & Customer Service Support A089","","<p>Industry: Clean Energy / Climate Tech / Real Estate Tech<br /> Work Arrangement: Fully Remote (U.S. time zone overlap required)<br /> Job Type: Independent Contractor (Full-time)<br /> Work Schedule: Monday to Friday â 40 hours per week (with flexibility during billing cycles)<br /> Locations:</p><ul><li> Philippines </li><li> LATAM (Mexico, Colombia, Brazil, Argentina) </li><li> Other remote regions with strong English communication and administrative experience </li></ul><p></p>About Pearl Talent<p>Pearl works with the top 1% of candidates from around the world and connects them with the best startups in the US and EU. Our clients have raised over $5B in aggregate and are backed by companies like OpenAI, a16z, and Founders Fund. Theyâre looking for the sharpest, hungriest candidates who they can consistently promote and work with over many years. Candidates weâve hired have been flown out to the US and EU to work with their clients, and even promoted to roles that match folks onshore in the US.</p><p>Hear why we exist, what we believe in, and who weâre building for: WATCH HERE</p><p>Why Work with Us?<br />At Pearl, weâre not just another recruiting firmâwe connect you with exceptional opportunities to work alongside visionary US and EU founders. Our focus is on placing you in roles where you can grow, be challenged, and build long-term, meaningful careers.</p><p></p>About the Company<p>Our client is a New Yorkâbased clean energy startup making solar work for tenant-occupied buildings. Their platform empowers landlords to generate new revenue from solar installations while providing cost savings and renewable energy access to tenants.</p><p>Recognized by the U.S. Department of Energy and featured in Forbes as a top climate startup to watch, this company operates at the intersection of energy, real estate, and technologyâbringing innovation and impact to the built environment.</p><p></p>Role Overview<p>Weâre looking for a proactive, highly organized Executive Assistant (EA) who will also provide customer service support during peak billing periods. This hybrid role requires adaptability â youâll manage executive schedules and communications most of the time, and step into a customer-facing support function during high-volume cycles.</p><p>The ideal candidate is resourceful, detail-driven, and tech-savvy, comfortable shifting between internal coordination and empathetic external communication. Youâll be at the operational heart of a mission-driven startup transforming clean energy accessibility.</p><p></p>Your Impact<ul><li> Youâll optimize executive workflows, protecting leadership time and improving communication flow across teams. </li><li> Youâll strengthen company efficiency by maintaining order across schedules, documents, and follow-ups. </li><li> During high-demand periods, youâll deliver excellent tenant support â ensuring clear, empathetic, and professional communication. </li><li> Your adaptability and reliability will help the company maintain smooth operations even during busy cycles. </li></ul><p></p>Core Responsibilities<p>Executive &amp; Administrative Support â 60%</p><ul><li> Manage executive calendars, meetings, and cross-team coordination. </li><li> Handle inbox triage, prioritize communication, and draft responses on behalf of leadership. </li><li> Support document preparation, data entry, and record-keeping. </li><li> Coordinate vendor and partner communications, including scheduling and follow-ups. </li><li> Maintain internal files, project trackers, and SOPs. </li><li> Conduct research and prepare summaries or briefing notes when needed. </li></ul><p>Customer Service Support (During Peak Cycles) â 40%</p><ul><li> Manage inbound tenant inquiries via Zendesk (tickets, calls, texts, and emails). </li><li> Provide professional support and clear explanations regarding solar billing and account details. </li><li> Troubleshoot tenant concerns and escalate complex cases to the billing or operations team. </li><li> Document all interactions accurately and follow escalation workflows. </li><li> Deliver a warm, empathetic, and efficient customer experience that builds trust and satisfaction.</li></ul>
Must-Have<ul><li> 2+ years of experience supporting executives (Administrative Assistant or EA roles). </li><li> 2+ years of customer service or contact center experience (calls and emails). </li><li> Excellent written and verbal English communication. </li><li> High attention to detail, strong time management, and ability to anticipate needs. </li><li> Proficiency in Google Workspace (Docs, Sheets, Drive, Meet). </li><li> Experience using helpdesk software (Zendesk or equivalent). </li><li> Reliable internet connection and professional remote setup. </li><li> Ability to work independently, handle sensitive information, and follow SOPs. </li></ul>Nice-to-Have<ul><li> Bilingual in English and Spanish. </li><li> Previous experience in startups, real estate, energy, or climate tech. </li><li> Experience creating internal documentation or improving support processes. </li><li> Familiarity with billing systems, CRMs, or ticketing automation tools. </li><li> Strong research and reporting skills. </li></ul>Tools Proficiency<ul><li> Communication &amp; Collaboration: Google Workspace, Slack, Zoom </li><li> Customer Support: Zendesk (required), Intercom or Freshdesk (nice-to-have) </li><li> Organization &amp; Project Tracking: Notion, Asana, ClickUp (preferred) </li><li> Documentation &amp; Research: Google Sheets, Docs, Drive </li></ul><p></p>Soft Skills &amp; Cultural Fit<ul><li> Proactive, organized, and dependable â operates with minimal supervision. </li><li> Calm under pressure and comfortable switching between roles. </li><li> Excellent communicator â empathetic yet concise and professional. </li><li> Tech-savvy and eager to learn new systems or tools quickly. </li><li> Positive and team-oriented, aligned with mission-driven work. </li><li> Strong sense of ownership and accountability for follow-through.</li></ul>
<ul><li> Competitive Salary: Based on experience and skills </li></ul><ul><li> Remote Work: Fully remoteâwork from anywhere </li><li> Generous PTO: In accordance with company policy </li><li> Health Coverage for PH-based talents: HMO coverage after 3 months for full-time employees </li><li> Direct Mentorship: Guidance from international industry experts </li><li> Learning &amp; Development: Ongoing access to resources for professional growth </li><li> Global Networking: Connect with professionals worldwide </li></ul><p></p>Our Recruitment Process<li> Application </li><li> Screening </li><li> Skills Assessment </li><li> Top-grading Interview </li><li> Client Interview </li><li> Job Offer </li><li> Client Onboarding</li><p></p>Ready to Join Us?<p>If youâre a highly organized professional who thrives in dynamic environments and values both precision and empathy, this role is for you. Join a mission-driven team building a cleaner, fairer energy future â one building at a time.</p><br/><br/>Please mention the word **ENTICED** and tag RMTM2LjIzMy45LjEwMA== when applying to show you read the job post completely (#RMTM2LjIzMy45LjEwMA==). This is a beta feature to avoid spam applicants. Companies can search these words to find applicants that read this and see they're human."
