"word","n"
"ai",430
"generative",397
"potential",199
"productivity",144
"automation",121
"economic",105
"impact",101
"activities",99
"data",87
"mckinsey",82
"customer",81
"percent",78
"frontier",73
"technology",72
"time",72
"capabilities",64
"adoption",62
"analysis",61
"based",61
"global",55
"models",55
"growth",54
"software",51
"human",50
"occupations",49
"language",48
"marketing",48
"sales",48
"technical",47
"2023",45
"labor",43
"industry",41
"1",40
"level",39
"research",39
"tasks",38
"workers",37
"business",36
"development",35
"exhibit",35
"including",35
"learning",35
"product",35
"foundation",34
"companies",33
"functions",33
"model",33
"scenario",33
"scenarios",33
"3",32
"content",32
"technologies",32
"ai’s",31
"2",30
"estimate",30
"industries",30
"institute",28
"natural",28
"specific",28
"deep",27
"performance",27
"workforce",27
"4",26
"activity",26
"cost",26
"total",26
"applications",25
"company",25
"economy",25
"increase",25
"knowledge",25
"solution",25
"costs",24
"create",24
"employment",23
"estimates",23
"generate",23
"information",23
"quality",23
"tools",23
"ability",22
"additional",22
"automated",22
"countries",22
"estimated",22
"process",22
"range",22
"required",22
"significant",22
"2017",21
"function",21
"products",21
"2022",20
"50",20
"accelerate",20
"current",20
"design",20
"engineering",20
"occupation",20
"operations",20
"previous",20
"report",20
"solutions",20
"wage",20
"5",19
"artificial",19
"code",19
"detailed",19
"intelligence",19
"key",19
"late",19
"relevant",19
"retail",19
"social",19
"text",19
"annual",18
"change",18
"experts",18
"levels",18
"llms",18
"service",18
"skills",18
"testing",18
"15",17
"80",17
"deliver",17
"source",17
"support",17
"world",17
"banking",16
"consumer",16
"drug",16
"exposed",16
"office",16
"personalized",16
"produce",16
"result",16
"trillion",16
"updated",16
"10",15
"20",15
"40",15
"60",15
"agents",15
"automate",15
"benefits",15
"developed",15
"enhance",15
"management",15
"market",15
"midpoint",15
"physical",15
"rapidly",15
"revenue",15
"share",15
"united",15
"billion",14
"box",14
"challenges",14
"customers",14
"designs",14
"exposure",14
"generation",14
"increased",14
"individual",14
"pace",14
"parameters",14
"previously",14
"scale",14
"virtual",14
"100",13
"april",13
"existing",13
"expert",13
"factors",13
"faster",13
"gdp",13
"percentage",13
"rates",13
"risks",13
"training",13
"account",12
"bureau",12
"database",12
"digital",12
"future",12
"improve",12
"initial",12
"lower",12
"output",12
"perform",12
"systems",12
"top",12
"47",11
"annually",11
"application",11
"approach",11
"assessments",11
"examples",11
"expertise",11
